,Ticker,Date,Div Amount
136,WEB.AX,2016-09-21,0.08
137,WEB.AX,2016-03-23,0.065
138,WEB.AX,2015-09-28,0.0725
139,WEB.AX,2015-03-25,0.0625
140,WAT.AX,2020-05-04,0.02
141,WAT.AX,2019-11-07,0.03
142,WAT.AX,2019-05-02,0.02
143,WAT.AX,2018-11-08,0.03
144,WAT.AX,2018-05-03,0.02
145,WAT.AX,2017-11-09,0.021
146,WAT.AX,2017-05-04,0.02
147,WAT.AX,2016-11-11,0.03
148,WAT.AX,2016-05-05,0.02
149,WAT.AX,2015-11-11,0.05
150,SOL.AX,2020-04-22,0.25
151,SOL.AX,2019-11-15,0.34
152,SOL.AX,2019-04-17,0.24
153,SOL.AX,2018-04-18,0.23
154,SOL.AX,2017-11-17,0.32
155,SOL.AX,2017-04-19,0.22
156,SOL.AX,2016-11-18,0.31
157,SOL.AX,2016-04-20,0.21
158,SOL.AX,2015-11-12,0.3
159,SOL.AX,2015-04-21,0.2
160,WAX.AX,2020-04-06,0.049
161,WAX.AX,2019-10-04,0.0485
162,WAX.AX,2019-04-10,0.0485
163,WAX.AX,2016-04-13,0.060714
164,WAX.AX,2015-10-12,0.057143
165,WAX.AX,2015-05-18,0.04
166,WMI.AX,2018-04-12,0.0286
167,WLE.AX,2020-04-15,0.0325
168,WLE.AX,2019-10-11,0.03
169,WLE.AX,2019-04-10,0.0265
170,WGB.AX,2020-04-15,0.03
171,WGB.AX,2019-10-11,0.02
172,WAM.AX,2020-04-20,0.0775
173,WAM.AX,2019-10-17,0.0775
174,WAM.AX,2019-04-10,0.0775
175,WAA.AX,2020-04-15,0.03
176,WAA.AX,2019-10-04,0.0295
177,WAA.AX,2019-04-10,0.0295
178,WGN.AX,2019-03-01,0.022
179,WGN.AX,2018-08-28,0.035
180,WGN.AX,2018-02-27,0.015
181,VOC.AX,2017-04-03,0.06
182,VOC.AX,2016-09-19,0.08
183,VOC.AX,2016-03-18,0.076
184,VOC.AX,2015-09-08,0.02
185,VOC.AX,2015-03-02,0.012
186,VVR.AX,2019-12-30,0.0719
187,VVR.AX,2019-06-27,0.0718
188,VVR.AX,2018-12-28,0.0703
189,VVR.AX,2018-07-24,0.0699
190,VVR.AX,2018-01-31,0.066
191,VVR.AX,2017-07-25,0.066
192,VVR.AX,2017-01-19,0.0528
193,VEA.AX,2020-03-24,0.026
194,VEA.AX,2019-09-26,0.021
195,VEA.AX,2019-03-27,0.048
196,VTH.AX,2020-03-12,0.0325
197,VTH.AX,2019-07-01,0.0165
198,VTH.AX,2019-03-13,0.04
199,VLS.AX,2020-03-19,0.0225
200,VLS.AX,2019-09-24,0.015
201,VLS.AX,2019-03-20,0.0225
202,VLS.AX,2018-09-24,0.015
203,VLS.AX,2018-03-19,0.0225
204,VLS.AX,2017-09-21,0.015
205,VLS.AX,2017-03-16,0.0225
206,VLS.AX,2016-09-21,0.015
207,VLS.AX,2016-03-17,0.0225
208,VLS.AX,2015-09-15,0.015
209,VLS.AX,2015-03-17,0.02
210,VTG.AX,2020-03-26,0.053
211,VTG.AX,2019-09-12,0.04
212,VTG.AX,2019-03-28,0.052
